date,name,unit,value,doc_name,doc_type,doc_upload_date,arc_name,parsed,doc_balancesheetdate,doc_companieshouseregisterednumber,doc_standard_type,doc_standard_date,doc_standard_link,sign
2011-12-31,companieshousedocumentauthentication,NA, ,Prod224_9977_00030399_20111231.xml,xml,2020-08-25 12:42:17.319564,Accounts_monthly_Data-April2012,True,2011-12-31,00030399,uk-gaap-ae,2009-06-21,http://www.companieshouse.gov.uk/ef/xbrl/uk/fr/gaap/ae/2009-06-21/uk-gaap-ae-2009-06-21.xsd,
2011-12-31,companynotdormant,NA,true,Prod224_9977_00030399_20111231.xml,xml,2020-08-25 12:42:17.319564,Accounts_monthly_Data-April2012,True,2011-12-31,00030399,uk-gaap-ae,2009-06-21,http://www.companieshouse.gov.uk/ef/xbrl/uk/fr/gaap/ae/2009-06-21/uk-gaap-ae-2009-06-21.xsd,
2011-12-31,companieshouseregisterednumber,NA,00030399,Prod224_9977_00030399_20111231.xml,xml,2020-08-25 12:42:17.319564,Accounts_monthly_Data-April2012,True,2011-12-31,00030399,uk-gaap-ae,2009-06-21,http://www.companieshouse.gov.uk/ef/xbrl/uk/fr/gaap/ae/2009-06-21/uk-gaap-ae-2009-06-21.xsd,
2011-12-31,addressline1,NA,895 High Road,Prod224_9977_00030399_20111231.xml,xml,2020-08-25 12:42:17.319564,Accounts_monthly_Data-April2012,True,2011-12-31,00030399,uk-gaap-ae,2009-06-21,http://www.companieshouse.gov.uk/ef/xbrl/uk/fr/gaap/ae/2009-06-21/uk-gaap-ae-2009-06-21.xsd,
2011-12-31,addressline2,NA,Chadwell Heath,Prod224_9977_00030399_20111231.xml,xml,2020-08-25 12:42:17.319564,Accounts_monthly_Data-April2012,True,2011-12-31,00030399,uk-gaap-ae,2009-06-21,http://www.companieshouse.gov.uk/ef/xbrl/uk/fr/gaap/ae/2009-06-21/uk-gaap-ae-2009-06-21.xsd,
2011-12-31,cityortown,NA,Romford,Prod224_9977_00030399_20111231.xml,xml,2020-08-25 12:42:17.319564,Accounts_monthly_Data-April2012,True,2011-12-31,00030399,uk-gaap-ae,2009-06-21,http://www.companieshouse.gov.uk/ef/xbrl/uk/fr/gaap/ae/2009-06-21/uk-gaap-ae-2009-06-21.xsd,
2011-12-31,county,NA,Essex,Prod224_9977_00030399_20111231.xml,xml,2020-08-25 12:42:17.319564,Accounts_monthly_Data-April2012,True,2011-12-31,00030399,uk-gaap-ae,2009-06-21,http://www.companieshouse.gov.uk/ef/xbrl/uk/fr/gaap/ae/2009-06-21/uk-gaap-ae-2009-06-21.xsd,
2011-12-31,postcode,NA,RM6 4HL,Prod224_9977_00030399_20111231.xml,xml,2020-08-25 12:42:17.319564,Accounts_monthly_Data-April2012,True,2011-12-31,00030399,uk-gaap-ae,2009-06-21,http://www.companieshouse.gov.uk/ef/xbrl/uk/fr/gaap/ae/2009-06-21/uk-gaap-ae-2009-06-21.xsd,
2011-12-31,nameaccountants,NA,Chegwidden & Co,Prod224_9977_00030399_20111231.xml,xml,2020-08-25 12:42:17.319564,Accounts_monthly_Data-April2012,True,2011-12-31,00030399,uk-gaap-ae,2009-06-21,http://www.companieshouse.gov.uk/ef/xbrl/uk/fr/gaap/ae/2009-06-21/uk-gaap-ae-2009-06-21.xsd,
2011-12-31,descriptionaccountants,NA,Chartered Accountants,Prod224_9977_00030399_20111231.xml,xml,2020-08-25 12:42:17.319564,Accounts_monthly_Data-April2012,True,2011-12-31,00030399,uk-gaap-ae,2009-06-21,http://www.companieshouse.gov.uk/ef/xbrl/uk/fr/gaap/ae/2009-06-21/uk-gaap-ae-2009-06-21.xsd,
2011-12-31,addressline1,NA,Priestley House,Prod224_9977_00030399_20111231.xml,xml,2020-08-25 12:42:17.319564,Accounts_monthly_Data-April2012,True,2011-12-31,00030399,uk-gaap-ae,2009-06-21,http://www.companieshouse.gov.uk/ef/xbrl/uk/fr/gaap/ae/2009-06-21/uk-gaap-ae-2009-06-21.xsd,
2011-12-31,addressline2,NA,Priestley Gardens,Prod224_9977_00030399_20111231.xml,xml,2020-08-25 12:42:17.319564,Accounts_monthly_Data-April2012,True,2011-12-31,00030399,uk-gaap-ae,2009-06-21,http://www.companieshouse.gov.uk/ef/xbrl/uk/fr/gaap/ae/2009-06-21/uk-gaap-ae-2009-06-21.xsd,
2011-12-31,cityortown,NA,Chadwell Heath,Prod224_9977_00030399_20111231.xml,xml,2020-08-25 12:42:17.319564,Accounts_monthly_Data-April2012,True,2011-12-31,00030399,uk-gaap-ae,2009-06-21,http://www.companieshouse.gov.uk/ef/xbrl/uk/fr/gaap/ae/2009-06-21/uk-gaap-ae-2009-06-21.xsd,
2011-12-31,county,NA,Essex,Prod224_9977_00030399_20111231.xml,xml,2020-08-25 12:42:17.319564,Accounts_monthly_Data-April2012,True,2011-12-31,00030399,uk-gaap-ae,2009-06-21,http://www.companieshouse.gov.uk/ef/xbrl/uk/fr/gaap/ae/2009-06-21/uk-gaap-ae-2009-06-21.xsd,
2011-12-31,postcode,NA,RM6 4SN,Prod224_9977_00030399_20111231.xml,xml,2020-08-25 12:42:17.319564,Accounts_monthly_Data-April2012,True,2011-12-31,00030399,uk-gaap-ae,2009-06-21,http://www.companieshouse.gov.uk/ef/xbrl/uk/fr/gaap/ae/2009-06-21/uk-gaap-ae-2009-06-21.xsd,
2011-12-31,titleaccountingpolicy,NA,Accounting convention,Prod224_9977_00030399_20111231.xml,xml,2020-08-25 12:42:17.319564,Accounts_monthly_Data-April2012,True,2011-12-31,00030399,uk-gaap-ae,2009-06-21,http://www.companieshouse.gov.uk/ef/xbrl/uk/fr/gaap/ae/2009-06-21/uk-gaap-ae-2009-06-21.xsd,
2011-12-31,contentaccountingpolicy,NA,The financial statements have been prepared under the historical cost convention and in accordance with the Financial Reporting Standard for Smaller Entities (effective April 2008).,Prod224_9977_00030399_20111231.xml,xml,2020-08-25 12:42:17.319564,Accounts_monthly_Data-April2012,True,2011-12-31,00030399,uk-gaap-ae,2009-06-21,http://www.companieshouse.gov.uk/ef/xbrl/uk/fr/gaap/ae/2009-06-21/uk-gaap-ae-2009-06-21.xsd,
